Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM,Latitude,Longitude,Stall_corrected_latitude,Stall_corrected_longitude,Stall_merged_latitude,Stall_merged_longitude
C10_2,Env_0840,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Inside of container,Negative,0,True,,,,,,
C11_2,Env_0841,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Ground,Negative,0,True,,,,,,
C12_2,Env_0842,SRR23971438,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Wall,Negative,0,True,,,,,,
C13_2,Env_0843,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Mahjong table,Negative,0,True,,,,,,
C14_2,Env_0844,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Mahjong table,Negative,0,True,,,,,,
C15_2,Env_0845,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Water cup,Negative,0,True,,,,,,
C18_2,Env_0848,,2020-02-20,West,6,,,West|6|NA,West|6|NA,West|6|NA,Environmental swab,Environmental swab,Negative,0,True,,,,,,
C19_2,Env_0849,,2020-02-20,West,6,,,West|6|NA,West|6|NA,West|6|NA,Environmental swab,Environmental swab,Negative,0,True,,,,,,
C6_2,Env_0836,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,work clothes,Negative,0,True,,,,,,
C7_2,Env_0837,,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Surface of feather removal machine,Negative,0,True,,,,,,
C8_2,Env_0838,,2020-02-20,West,5,stair1-2,,West|5|stair1-2,West|5|stair1-2,West|5|stair1-2,Environmental swab,Wall inside the stalls,Positive,0,True,,,,,,
C9,Env_0147,,2020-01-01,West,4,,,West|4|NA,West|4|NA,West|4|NA,Environmental swab,Surface of the door,Negative,0,True,,,,,,
C9_2,Env_0839,SRR23971437,2020-02-20,West,5,,,West|5|NA,West|5|NA,West|5|NA,Environmental swab,Ground,Negative,0,True,,,,,,
E-A--7-3,Env_0854,,2020-02-20,East,Accessory Street,7,,East|Accessory Street|7,East|Accessory Street|7,East|Accessory Street|7,Environmental swab,Chopping block,Negative,0,True,,,,,,
E-A--7-3-floor,Env_0859,,2020-02-20,East,Accessory Street,7,,East|Accessory Street|7,East|Accessory Street|7,East|Accessory Street|7,Environmental swab,Ground,Negative,0,True,,,,,,
E-A-7-1,Env_0858,SRR23971441,2020-02-20,East,Accessory Street,7,,East|Accessory Street|7,East|Accessory Street|7,East|Accessory Street|7,Environmental swab,Container,Negative,0,True,,,,,,
E71,Env_0285,,2020-01-01,East,2,,,East|2|NA,East|2|NA,East|2|NA,Environmental swab,Shelf for meat,Negative,0,True,,,,,,
E72,Env_0286,,2020-01-01,East,2,,,East|2|NA,East|2|NA,East|2|NA,Environmental swab,Surface of cart,Negative,0,True,,,,,,
E73,Env_0287,,2020-01-01,East,2,,,East|2|NA,East|2|NA,East|2|NA,Environmental swab,Table for meta selling,Negative,0,True,,,,,,
E74,Env_0288,,2020-01-01,East,2,,,East|2|NA,East|2|NA,East|2|NA,Environmental swab,Surface of chopping board,Negative,0,True,,,,,,
E75,Env_0289,,2020-01-01,East,1,,,East|1|NA,East|1|NA,East|1|NA,Environmental swab,Surface of chopping board,Negative,0,True,,,,,,
E76,Env_0290,,2020-01-01,East,1,,,East|1|NA,East|1|NA,East|1|NA,Environmental swab,Sewage on floor,Negative,0,True,,,,,,
H-D-3.5-L1,Env_0853,,2020-02-20,East,Accessory Street,7,,East|Accessory Street|7,East|Accessory Street|7,East|Accessory Street|7,Environmental swab,Container,Negative,0,True,,,,,,
Outside-1,Env_0758,,2020-02-09,West,1,,assume east line because no 3,West|1|NA,West|1|Sw3,West|1|NA,Water drain,Water drain,Negative,1,True,,,,,,
Outside-5,Env_0759,SRR23971559,2020-02-09,West,5,,assume east line because no 3,West|5|NA,West|5|Sw3,West|5|NA,Water drain,Water drain,Negative,1,True,,,,,,
Outside-7,Env_0760,,2020-02-09,West,7,,assume east line because no 3,West|7|NA,West|7|Sw3,West|7|NA,Water drain,Water drain,Negative,1,True,,,,,,
